Pop,A,B,C,D,E,F,G,H
GentainL,1:1,1:2,NA:NA,1:1,5:6,1:1,NA:NA,3:5
GentainL,1:1,1:2,1:1,NA:NA,1:2,1:1,2:2,4:5
GentainL,1:1,2:3,1:1,3:1,2:3,1:1,2:2,1:4
ParagonL,1:1,1:1,1:1,2:2,1:1,1:1,1:2,3:5
ParagonL,1:1,1:1,1:1,2:2,1:4,1:1,1:2,3:5
ParagonL,1:1,4:1,1:1,2:2,1:1,1:1,1:1,5:5
ParagonL,1:1,1:1,NA:NA,2:2,1:2,1:1,NA:NA,2:5
ParagonL,1:1,4:4,1:1,2:2,1:4,1:1,1:1,5:5
ParagonL,1:1,1:1,NA:NA,2:2,1:4,1:1,2:2,3:5
ParagonL,1:1,1:1,1:5,2:2,1:1,1:1,2:2,3:3
ParagonL,1:1,1:1,NA:NA,2:2,1:1,1:1,2:2,3:5
ParagonL,1:1,1:1,1:1,2:2,1:1,1:1,1:2,5:5
ParagonL,1:1,1:1,1:1,2:2,1:1,1:1,1:2,3:5
ParagonL,NA:NA,1:1,NA:NA,2:2,1:2,1:1,NA:NA,4:8
ParagonL,1:1,1:1,1:1,2:2,1:1,1:1,1:1,5:5
ParagonL,1:1,1:1,1:1,2:2,1:1,1:1,NA:NA,3:3
ParagonL,1:1,1:1,1:1,4:2,1:1,1:1,NA:NA,5:5
ParagonL,1:1,1:1,NA:NA,4:2,1:4,1:1,1:2,3:5
ParagonL,1:1,1:1,1:1,4:2,1:1,1:1,1:1,3:3
ParagonL,1:1,4:1,1:1,2:2,1:1,1:1,2:2,5:5
ParagonL,1:1,1:1,NA:NA,2:2,1:1,1:1,1:1,3:3
ParagonL,1:1,1:1,1:1,2:2,NA:NA,1:1,NA:NA,3:5
Pothole,1:1,1:1,1:1,3:1,1:1,NA:NA,NA:NA,NA:NA
Pothole,1:1,1:1,1:1,1:1,1:7,1:1,NA:NA,3:5
Pothole,1:1,1:1,NA:NA,NA:NA,1:1,1:1,3:2,1:5
Pothole,1:1,1:1,1:1,1:1,1:1,1:1,NA:NA,5:5
Pothole,1:1,1:1,1:1,1:1,1:7,1:1,3:2,3:3
Pothole,1:1,1:1,NA:NA,1:1,NA:NA,1:1,1:1,NA:NA
Pothole,1:1,1:1,1:1,3:1,1:7,1:1,NA:NA,3:5
Pothole,1:1,1:1,1:1,1:1,1:1,1:1,2:2,5:5
Pothole,1:1,1:1,1:1,1:1,1:1,1:1,3:2,1:3
Pothole,1:1,1:1,1:1,1:1,1:7,1:1,2:2,1:3
Pothole,1:1,1:1,NA:NA,1:1,1:7,1:1,1:2,3:5
Pothole,1:1,1:1,NA:NA,3:1,1:1,1:1,NA:NA,1:5
Pothole,1:1,1:1,NA:NA,3:1,1:7,1:1,NA:NA,3:5
ShipIsland,1:2,3:3,NA:NA,3:3,2:3,1:1,NA:NA,5:5
ShipIsland,1:1,1:1,NA:NA,1:1,10:10,NA:NA,NA:NA,3:3
ShipIsland,2:2,1:1,1:1,1:1,2:2,1:1,1:1,4:4
ShipIsland,1:1,1:1,NA:NA,3:1,1:3,1:1,2:2,4:5
ShipIsland,1:2,3:3,1:1,1:1,2:2,1:1,1:1,4:5
ShipIsland,1:1,3:3,1:1,1:1,2:3,1:1,1:1,3:5
ShipIsland,1:1,1:3,1:1,1:1,2:2,1:1,1:1,3:3
ShipIsland,1:2,1:1,1:1,3:1,1:2,1:1,1:2,3:4
ShipIsland,1:2,1:1,1:1,1:2,2:2,1:1,1:1,3:4
ShipIsland,1:1,1:3,1:1,1:2,1:2,1:1,1:2,3:4
ShipIsland,1:2,3:3,1:1,3:1,1:2,1:1,2:2,4:4
ShipIsland,1:1,1:3,1:1,1:2,2:2,1:1,1:1,4:5
ShipIsland,2:2,1:3,1:1,3:1,2:2,1:1,1:1,4:5
ShipIsland,1:1,1:1,NA:NA,1:1,1:1,1:1,1:2,4:5
ShipIsland,1:2,1:3,NA:NA,3:1,1:2,1:1,1:2,4:5
ShipIsland,1:2,1:3,NA:NA,1:2,1:2,1:1,1:2,4:5
ShipIsland,1:1,1:3,1:1,3:1,1:3,1:1,NA:NA,3:5
Skyhigh,1:1,1:1,NA:NA,2:2,2:2,1:1,1:2,6:4
Skyhigh,1:1,1:1,1:1,2:2,2:2,1:1,1:2,6:4
Skyhigh,1:1,1:2,1:1,3:2,2:8,1:1,1:1,6:4
Skyhigh,1:1,2:2,1:1,2:2,2:3,1:1,1:2,3:4
Skyhigh,1:1,1:2,1:1,2:2,1:5,1:1,NA:NA,7:6
Skyhigh,1:1,1:2,1:1,1:2,2:2,1:1,1:1,6:4
